Sale price,Regular price,SKU,Name,Short description,Description,Categories,Images
36.34,37.27,"89516-0D070 R/H , 89516-0D080 L/H",Toyota Yaris 2005 – 2011 Rear Abs Sensor,,"Yaris 2005-2011 Rear ABS sensor with wire.
Suitable for the Toyota Yaris 2005 – 2011
Please email if you are unsure about fitment.
Toyota part number – 89516-0D070 RH, 89516-0D080 LH
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook pagePicture is for illustration purposes only.
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.  We will contact you once an order is placed to inform if the item is in stock or not.","Brakes/Transmission,Brakes/Transmission,Toyota Yaris,Yaris Mk 2 (2005-2013),Yaris Mk 3 (2013-2020)",https://toyotadirectparts.co.uk/wp-content/uploads/wire.jpg
107.16,119.06,58fc34c6f6be,Toyota Yaris 2005 – 2013 Front Brake Discs,,"Suitable for the Toyota Yaris 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 43512-0D060  SOLD AS A PAIR
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Brakes/Transmission,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/frontbrakediscs.jpg
37.03,37.98,89516-0D070,Toyota Yaris 2005-2011 ABS Sensor-Rear RH,,"Toyota Yaris 2005-2011 ABS Sensor – Rear RH
 
Suitable for the Toyota Yaris 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 89516-0D070
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY.  We will contact you once an order is placed to inform if the item is in stock or not.","Brakes/Transmission,Toyota Yaris,Yaris Mk 2 (2005-2013)",
51.89,57.66,PZ410-B035A-BA,Toyota Yaris 2005-2011 Carpet Mat Full Set – Anthracite,,"Toyota Yaris 2005-2011 Carpet Mat Full Set – Anthracite
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005 – 2011
Toyota part number – PZ410-B035A-BA
Full set of mats – 1 drivers mat, 1 passenger mate, 1 rear mat and 2x fixation clips
Genuine Toyota part. Secure online payment.
If your vehicle is a 2011 or 2012 model please double check with us for the correct mats,
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ410-B035E-FA.jpg
85.94,95.48,81570-05100,Toyota Yaris 2005-2011 Centre Stop Lamp,,"Toyota Yaris 2005-2011 Centre Stop Lamp
Suitable for the Toyota Yaris 2005-2011
Toyota part number – 81570-05100
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",
46.94,50.75,81977-0D020,Toyota Yaris 2005-2011 Centre Stop Lamp Cover,,"Toyota Yaris 2005-2011 Centre Stop Lamp Cover
 
Suitable for the Toyota Yaris 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 81977-0D020
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",
"1,108.65","1,231.84",17410-37221,Toyota Yaris 2005-2011 Front Exhaust Pipe,,"Toyota Yaris 2005-2011 Front Exhaust Pipe
Suitable for the Toyota ‘enter model and year range here’
Please email if you are unsure about fitment.
Toyota part number – ‘enter part number here’
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY.  We will contact you once an order is placed to inform if the item is in stock or not.","Engine/Service Kits,Toyota Yaris,Yaris Mk 2 (2005-2013)",
161.46,174.55,84140-0D080 / Yaris,Toyota Yaris 2005-2011 Headlight Indicator & Fog Light Stalk,,"Toyota Yaris 2005-2011 – Headlight, Indicator & Fog Light Stalk
Suitable for the Toyota Yaris – 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 84140-0D080
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY We will contact you once an order is placed to inform if the item is in stock or not.","Steering/Suspension,Toyota Yaris,Yaris Mk 2 (2005-2013)",
143.07,154.67,84140-0D090,Toyota Yaris 2005-2011 Headlight Indicator Stalk,,"Toyota Yaris 2005-2011 Headlight Indicator Stalk
Suitable for the Toyota Yaris – 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 84140-0D090
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY We will contact you once an order is placed to inform if the item is in stock or not.","Steering/Suspension,Toyota Yaris,Yaris Mk 2 (2005-2013)",
26.30,29.22,58327-0D050 /Yaris,Toyota Yaris 2005-2011 Main Muffler Heat Shield,,"Toyota Yaris 2005-2011 Main Muffler Heat Shield
Suitable for Toyota Yaris 2005-2011
Toyota part number – 58327-0D050
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Yaris-19.jpg
32.80,36.44,81270-0D011,Toyota Yaris 2005-2011 Number Plate Light,,"Toyota Yaris 2005-2011 Number Plate Light
Suitable for the Toyota Yaris 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 81270-0D011
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/YARIS-NO-LAMP.jpg
57.74,64.15,04495-OD040 /Yaris,Toyota Yaris 2005-2011 Rear Brake Shoes,,"Toyota Yaris 2005-2011 Rear Brake Shoes
Suitable for the Toyota Yaris 2005-2011
Please email if you are unsure about fitment.
Toyota part number – 04495-OD040
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY. We will contact you once an order is placed to inform if the item is in stock or not.","Brakes/Transmission,Toyota Yaris,Yaris Mk 2 (2005-2013)",
41.42,46.02,85241-0D020 / Yaris,Toyota Yaris 2005-2011 Rear Wiper Arm,,"Toyota Yaris 2005-2011 Rear Wiper Arm
Suitable for the Toyota ‘Yaris 2005-2011’
Please email if you are unsure about fitment.
Toyota part number – 85241-0D020
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/16842.jpg
56.96,63.29,PZ49K-B0354-RJ / Yaris,Toyota Yaris 2005-2011 Rubber Floormats Full Set,,"Toyota Yaris 2005-2011 Rubber Floormats Full Set
Suitable for the Toyota Yaris 2005-2011
Toyota part number – PZ49K-B0354-RJ
Full set consists of x1 drivers mat, x1 passenger mat, x1 rear mat, and set of fixations clips
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
 
PICTURE IS FOR ILLUSTRATION PURPOSES ONLY We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",
7.74,8.36,85321-0D010,Toyota Yaris 2005-2011 Washer Valve,,Toyota Yaris washer check valve.  We will contact you once an order is placed to inform if the item is in stock or not.,"Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",
46.27,51.41,53875-0D040 or 53876-0D040,Toyota Yaris 2005-2011 Wheel Arch Liner,,"Toyota Yaris 2005-2011 Wheel Arch Liner
Suitable for the Toyota Yaris FRP 2005-2011
Please state which side you require when ordering, price include’s all fittings
Toyota part number – 53875-0D040 R/H 53876-0D040 L/H
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online
Picture is for illustration purposes only.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/images-3.jpg
42.90,47.66,PZ419-B0693-ZB,Toyota Yaris 2005-2013 15” Winter Steel Wheel,,"Toyota Yaris 2005-2013 15” Winter Steel Wheel
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013
Toyota part number – PZ419-B0693-ZB
Please confirm this is the correct wheel for your vehicle before placing your order.
Especially for use with winter tyres. When the weather turns you can simply swap the winter wheels for your normal alloys and so avoid expensive tyre changes.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user? Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Winter Rim Steel 15″ 426110D600 We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/42611-0D600_T_1.jpeg
137.83,149.00,PZ49PB0671CE / 3083,Toyota Yaris 2005-2013 Alloy Wheel 15″ – Light Grey,,"Toyota Yaris 2005-2013 Alloy Wheel 15″ – Light Grey
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ49PB0671CE
Especially designed for the vehicle, alloy wheels add even more distinction to your car’s outstanding good looks. They are lightweight, strong and with a durable high quality finish.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Alloy Wheel 15″ – Light Grey PZ49PB0671CE  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ49P-B0671-CE_T_1.jpeg
124.97,138.85,PZ49PB0670CQ / 3079,Toyota Yaris 2005-2013 Alloy Wheel 15″ – Standard Silver,,"Toyota Yaris 2005-2013 Alloy Wheel 15″ – Standard Silver
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ49PB0670CQ
Especially designed for the vehicle, alloy wheels add even more distinction to your car’s outstanding good looks. They are lightweight, strong and with a durable high quality finish.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Alloy Wheel 15″ – Standard Silver PZ49PB0670CQ  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ49P-B0670-CQ_T_1.jpeg
67.27,74.75,PZ438B218C00 / 2223,Toyota Yaris 2005-2013 Aluminium Scuff Plates Hybrid,,"Toyota Yaris 2005-2013 Aluminium Scuff Plates Hybrid
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ438B218C00
Genuine scuff plates for the door sills create an immediate impression of style while also serving a very practical purpose of protecting the sill paintwork from dirty marks, scrapes and scratches.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Aluminium Scuff Plates Hybrid PZ438B218C00  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ438-B218C-00_T_1.jpeg
16.04,17.34,741100D010 / 185,Toyota Yaris 2005-2013 Ash Tray,,"Toyota Yaris 2005-2013 Ash Tray
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – 741100D010
A smart black finish ensures that the ashtray co-ordinates perfectly with the interior of your car. It fixes neatly in the central cupholder and can be easily removed for emptying and cleaning. The lidded design is very effective in preventing the spread of ash and helping to contain odours.  Can also be used a a bin for small items.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Ash Tray 741100D010  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/74110-0D010_T_1.jpeg
55.11,61.24,PZ49HB93A1BD / 3032,Toyota Yaris 2005-2013 Back Door Sunblind,,"Toyota Yaris 2005-2013 Back Door Sunblind
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ49HB93A1BD
Protects against the sun while shielding against prying eyes.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Back Door Sunblind PZ49HB93A1BD  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ49H-B93A1-BD_T_1.jpeg
55.11,175.44,GBNGABTHTOY1 / 380,Toyota Yaris 2005-2013 Bluetooth Retrofit Module,,"Toyota Yaris 2005-2013 Bluetooth Retrofit Module
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – GBNGABTHTOY1
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Bluetooth Retrofit Module GBNGABTHTOY1  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",
60.48,67.20,PW3820D001 / 842,Toyota Yaris 2005-2013 Brushed Aluminium Scuff Plates On Black,,"Toyota Yaris 2005-2013 Brushed Aluminium Scuff Plates On Black
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PW3820D001
Genuine scuff plates for the door sills create an immediate impression of style while also serving a very practical purpose of protecting the sill paintwork from dirty marks, scrapes and scratches.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Brushed Aluminium Scuff Plates On Black PW3820D001  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PW382-0D001_T_1.jpeg
